,Title,Salary
0,Sign in,
1,Sign in,
2,All Perth WA,
3,Senior Cyber Security Analyst,
4,Senior Cyber Security Analyst,
5,Perth WA,
6,Project Manager - Electronic Security,
7,Project Manager - Electronic Security,
8,Brisbane QLD,
9,Cyber Security Analyst,"$97,521 - $109,117 plus superannuation"
10,Cyber Security Analyst,
11,Bendigo,"$97,521 - $109,117 plus superannuation"
12,Junior Cyber Security Analyst,
13,Junior Cyber Security Analyst,
14,Perth WA,
15,Graduate (Network & Cyber Security),"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
16,Graduate (Network & Cyber Security),
17,East Perth,"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
18,Cyber Security Analyst,
19,Cyber Security Analyst,
20,Perth WA,
21,Cyber Security Analyst,"$110,768 - $122,472 PA+super+financial benefits"
22,Cyber Security Analyst,
23,Toowoomba,"$110,768 - $122,472 PA+super+financial benefits"
24,Cyber Security Analyst,
25,Cyber Security Analyst,
26,Canberra ACT,
27,Cyber Security Analyst,$100k - $160k p.a. + Base Salary
28,Cyber Security Analyst,
29,Canberra ACT,$100k - $160k p.a. + Base Salary
30,Cyber security specialist,$52 - $55 p.h. + super
31,Cyber security specialist,
32,Cloverdale,$52 - $55 p.h. + super
33,Expressions of Interest - Cyber TSPV Professionals,110-160
34,Expressions of Interest - Cyber TSPV Professionals,
35,Canberra ACT,110-160
36,IT Cyber Security Officer,Top $'s Paid ! Contract extensions likely !
37,IT Cyber Security Officer,
38,Belmont,Top $'s Paid ! Contract extensions likely !
39,Cyber Security GRC Specialist - Remote,
40,Cyber Security GRC Specialist - Remote,
41,Perth WA,
42,Cyber Security Administrator,"12% Superannuation, flexible work options"
43,Cyber Security Administrator,
44,South Perth,"12% Superannuation, flexible work options"
45,Cyber Security Operations Analyst,
46,Cyber Security Operations Analyst,
47,Cleveland,
48,Cyber Security Uplift Technician,"90,000 - 150,000"
49,Cyber Security Uplift Technician,
50,Canberra ACT,"90,000 - 150,000"
51,Cyber Security Officer,$50 - $65 p.h.
52,Cyber Security Officer,
53,Belmont,$50 - $65 p.h.
54,Cyber Security GRC Specialist,
55,Cyber Security GRC Specialist,
56,Sydney NSW,
57,Cyber Security GRC Specialist,Up to $150000.00 p.a. + + bonus + benefits
58,Cyber Security GRC Specialist,
59,Brisbane QLD,Up to $150000.00 p.a. + + bonus + benefits
60,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,"$85,794 – $97,459 per year"
61,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,
62,Canberra ACT,"$85,794 – $97,459 per year"
63,"Head of IT, Cyber Security","Total remuneration package is up to $167,368 p.a"
64,"Head of IT, Cyber Security",
65,Bilinga,"Total remuneration package is up to $167,368 p.a"
66,Penetration Tester,
67,Penetration Tester,
68,Melbourne VIC,
69,Sign in,
70,Sign in,
71,All Perth WA,
72,Senior Cyber Security Analyst,
73,Senior Cyber Security Analyst,
74,Perth WA,
75,Project Manager - Electronic Security,
76,Project Manager - Electronic Security,
77,Brisbane QLD,
78,Cyber Security Analyst,"$97,521 - $109,117 plus superannuation"
79,Cyber Security Analyst,
80,Bendigo,"$97,521 - $109,117 plus superannuation"
81,Junior Cyber Security Analyst,
82,Junior Cyber Security Analyst,
83,Perth WA,
84,Graduate (Network & Cyber Security),"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
85,Graduate (Network & Cyber Security),
86,East Perth,"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
87,Cyber Security Analyst,
88,Cyber Security Analyst,
89,Perth WA,
90,Cyber Security Analyst,"$110,768 - $122,472 PA+super+financial benefits"
91,Cyber Security Analyst,
92,Toowoomba,"$110,768 - $122,472 PA+super+financial benefits"
93,Cyber Security Analyst,
94,Cyber Security Analyst,
95,Canberra ACT,
96,Cyber Security Analyst,$100k - $160k p.a. + Base Salary
97,Cyber Security Analyst,
98,Canberra ACT,$100k - $160k p.a. + Base Salary
99,Cyber security specialist,$52 - $55 p.h. + super
100,Cyber security specialist,
101,Cloverdale,$52 - $55 p.h. + super
102,Expressions of Interest - Cyber TSPV Professionals,110-160
103,Expressions of Interest - Cyber TSPV Professionals,
104,Canberra ACT,110-160
105,IT Cyber Security Officer,Top $'s Paid ! Contract extensions likely !
106,IT Cyber Security Officer,
107,Belmont,Top $'s Paid ! Contract extensions likely !
108,Cyber Security GRC Specialist - Remote,
109,Cyber Security GRC Specialist - Remote,
110,Perth WA,
111,Cyber Security Administrator,"12% Superannuation, flexible work options"
112,Cyber Security Administrator,
113,South Perth,"12% Superannuation, flexible work options"
114,Cyber Security Operations Analyst,
115,Cyber Security Operations Analyst,
116,Cleveland,
117,Cyber Security Uplift Technician,"90,000 - 150,000"
118,Cyber Security Uplift Technician,
119,Canberra ACT,"90,000 - 150,000"
120,Cyber Security Officer,$50 - $65 p.h.
121,Cyber Security Officer,
122,Belmont,$50 - $65 p.h.
123,Cyber Security GRC Specialist,
124,Cyber Security GRC Specialist,
125,Sydney NSW,
126,Cyber Security GRC Specialist,Up to $150000.00 p.a. + + bonus + benefits
127,Cyber Security GRC Specialist,
128,Brisbane QLD,Up to $150000.00 p.a. + + bonus + benefits
129,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,"$85,794 – $97,459 per year"
130,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,
131,Canberra ACT,"$85,794 – $97,459 per year"
132,"Head of IT, Cyber Security","Total remuneration package is up to $167,368 p.a"
133,"Head of IT, Cyber Security",
134,Bilinga,"Total remuneration package is up to $167,368 p.a"
135,Penetration Tester,
136,Penetration Tester,
137,Melbourne VIC,
138,Sign in,
139,Sign in,
140,All Perth WA,
141,Senior Cyber Security Analyst,
142,Senior Cyber Security Analyst,
143,Perth WA,
144,Project Manager - Electronic Security,
145,Project Manager - Electronic Security,
146,Brisbane QLD,
147,Cyber Security Analyst,"$97,521 - $109,117 plus superannuation"
148,Cyber Security Analyst,
149,Bendigo,"$97,521 - $109,117 plus superannuation"
150,Junior Cyber Security Analyst,
151,Junior Cyber Security Analyst,
152,Perth WA,
153,Graduate (Network & Cyber Security),"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
154,Graduate (Network & Cyber Security),
155,East Perth,"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
156,Cyber Security Analyst,
157,Cyber Security Analyst,
158,Perth WA,
159,Cyber Security Analyst,"$110,768 - $122,472 PA+super+financial benefits"
160,Cyber Security Analyst,
161,Toowoomba,"$110,768 - $122,472 PA+super+financial benefits"
162,Cyber Security Analyst,
163,Cyber Security Analyst,
164,Canberra ACT,
165,Cyber Security Analyst,$100k - $160k p.a. + Base Salary
166,Cyber Security Analyst,
167,Canberra ACT,$100k - $160k p.a. + Base Salary
168,Cyber security specialist,$52 - $55 p.h. + super
169,Cyber security specialist,
170,Cloverdale,$52 - $55 p.h. + super
171,Expressions of Interest - Cyber TSPV Professionals,110-160
172,Expressions of Interest - Cyber TSPV Professionals,
173,Canberra ACT,110-160
174,IT Cyber Security Officer,Top $'s Paid ! Contract extensions likely !
175,IT Cyber Security Officer,
176,Belmont,Top $'s Paid ! Contract extensions likely !
177,Cyber Security GRC Specialist - Remote,
178,Cyber Security GRC Specialist - Remote,
179,Perth WA,
180,Cyber Security Administrator,"12% Superannuation, flexible work options"
181,Cyber Security Administrator,
182,South Perth,"12% Superannuation, flexible work options"
183,Cyber Security Operations Analyst,
184,Cyber Security Operations Analyst,
185,Cleveland,
186,Cyber Security Uplift Technician,"90,000 - 150,000"
187,Cyber Security Uplift Technician,
188,Canberra ACT,"90,000 - 150,000"
189,Cyber Security Officer,$50 - $65 p.h.
190,Cyber Security Officer,
191,Belmont,$50 - $65 p.h.
192,Cyber Security GRC Specialist,
193,Cyber Security GRC Specialist,
194,Sydney NSW,
195,Cyber Security GRC Specialist,Up to $150000.00 p.a. + + bonus + benefits
196,Cyber Security GRC Specialist,
197,Brisbane QLD,Up to $150000.00 p.a. + + bonus + benefits
198,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,"$85,794 – $97,459 per year"
199,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,
200,Canberra ACT,"$85,794 – $97,459 per year"
201,"Head of IT, Cyber Security","Total remuneration package is up to $167,368 p.a"
202,"Head of IT, Cyber Security",
203,Bilinga,"Total remuneration package is up to $167,368 p.a"
204,Penetration Tester,
205,Penetration Tester,
206,Melbourne VIC,
207,Sign in,
208,Sign in,
209,All Perth WA,
210,Senior Cyber Security Analyst,
211,Senior Cyber Security Analyst,
212,Perth WA,
213,Project Manager - Electronic Security,
214,Project Manager - Electronic Security,
215,Brisbane QLD,
216,Cyber Security Analyst,"$97,521 - $109,117 plus superannuation"
217,Cyber Security Analyst,
218,Bendigo,"$97,521 - $109,117 plus superannuation"
219,Junior Cyber Security Analyst,
220,Junior Cyber Security Analyst,
